Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0100.a1.txt,1527.58,1230.55,806.22,537.48,0,0,0
0101.a1.txt,1191.97,1254.71,627.35,828.11,0,0,0
0102.a1.txt,1485.03,1197.6,682.63,479.04,1,0,0
0103.a1.txt,1161.5,1371.68,564.16,575.22,1,0,0
0104.a1.txt,1328.41,1217.71,565.81,664.21,0,1,0
0105.a1.txt,1325.9,1375.46,631.97,631.97,2,0,1
0106.a1.txt,1553.64,1294.7,850.8,875.46,1,0,0
0107.a1.txt,1211.7,1448.47,891.36,598.89,0,0,0
0108.a1.txt,1222.08,1327.2,433.64,630.75,1,0,0
0109.a1.txt,1306.88,1341.89,735.12,688.45,0,0,0
0110.a1.txt,1437.74,1399.23,834.4,667.52,0,0,0
0111.a1.txt,1419.6,1381.91,678.39,716.08,1,0,0
0112.a1.txt,1326.16,1266.43,788.53,681.0,0,0,1
0113.a1.txt,1357.09,1281.27,720.24,894.62,0,0,2
0114.a1.txt,1171.17,1557.27,617.76,900.9,0,0,0
0115.a1.txt,1391.08,1154.86,839.9,787.4,0,0,0
0116.a1.txt,1367.65,1426.47,661.76,852.94,0,0,0
0118.a1.txt,1304.35,1317.52,632.41,658.76,0,0,1
0119.a1.txt,1259.45,1385.39,730.48,743.07,0,0,0
0120.a1.txt,1293.66,1474.77,698.58,827.94,2,0,0
0121.a1.txt,1396.98,1366.83,733.67,633.17,0,0,1
0122.a1.txt,1511.77,1412.64,693.93,706.32,0,0,0
0123.a1.txt,1257.94,1359.59,648.03,775.1,1,0,1
0124.a1.txt,1642.78,1069.46,771.78,595.37,1,1,2
0125.a1.txt,1828.84,1101.99,867.53,562.72,0,1,0
0127.a1.txt,1141.3,1413.04,611.41,855.98,0,0,0
0128.a1.txt,1374.7,1216.55,620.44,717.76,0,0,0
0130.a1.txt,1413.88,1143.96,861.18,681.23,0,0,1
0131.a1.txt,1426.7,1452.88,746.07,510.47,1,0,0
0133.a1.txt,1179.98,1358.76,560.19,810.49,0,0,0
0134.a1.txt,1331.72,1234.87,738.5,1162.23,0,0,0
0135.a1.txt,1622.0,902.68,959.1,648.8,0,0,0
0136.a1.txt,1468.93,1209.04,553.67,644.07,0,1,0
0137.a1.txt,1144.28,1218.91,858.21,845.77,0,0,2
0138.a1.txt,1370.87,1260.71,783.35,734.39,0,0,0
0139.a1.txt,1078.68,1586.29,532.99,685.28,0,0,0
0140.a1.txt,1486.35,1294.24,768.45,505.56,6,0,0
0142.a1.txt,1671.16,1361.19,781.67,323.45,0,0,0
0143.a1.txt,1398.51,1311.88,680.69,705.45,1,0,2
0144.a1.txt,1202.05,1240.41,767.26,792.84,0,0,1
0145.a1.txt,1624.55,1203.37,673.89,734.06,0,0,0
0146.a1.txt,1171.17,1544.4,540.54,643.5,0,0,0
0148.a1.txt,1395.05,1199.48,925.68,704.04,0,0,0
0149.a1.txt,1263.36,1243.93,748.3,738.58,0,0,0
0151.a1.txt,968.17,1578.25,543.77,742.71,0,0,0
0152.a1.txt,1362.64,1263.74,714.29,703.3,0,0,0
0155.a1.txt,1028.15,1566.71,746.63,820.07,0,0,0
0156.a1.txt,981.43,1485.41,623.34,755.97,1,0,0
0157.a1.txt,1142.53,1572.4,588.24,486.43,1,0,0
0158.a1.txt,1181.49,1522.53,633.37,645.55,0,0,0
0159.a1.txt,1064.09,1390.57,544.14,749.7,0,0,1
0161.a1.txt,1506.33,1202.53,860.76,468.35,0,0,0
0162.a1.txt,1198.04,1259.17,660.15,623.47,0,0,1
0163.a1.txt,1343.67,1124.03,594.32,968.99,0,0,0
0164.a1.txt,1598.0,1186.02,686.64,574.28,0,0,0
0165.a1.txt,1495.02,1107.42,664.45,553.71,0,0,1
0167.a1.txt,1279.07,1173.36,644.82,940.8,1,0,0
0168.a1.txt,1362.5,1362.5,625.0,875.0,1,0,0
0169.a1.txt,1395.91,1323.71,637.79,553.55,0,0,3
0171.a1.txt,1398.35,1351.35,622.8,716.8,0,1,0
0172.a1.txt,1345.18,1142.13,786.8,710.66,8,0,2
0173.a1.txt,1339.83,1266.75,706.46,621.19,4,0,2
0174.a1.txt,1388.89,1582.13,640.1,507.25,1,0,0
0175.a1.txt,1105.53,1407.04,665.83,753.77,0,0,1
0176.a1.txt,1452.15,1243.12,660.07,682.07,0,0,0
0177.a1.txt,889.42,1466.35,721.15,625.0,1,0,0
0178.a1.txt,1244.94,1083.0,637.65,850.2,0,0,0
0179.a1.txt,1204.66,1424.87,556.99,569.95,0,0,0
0180.a1.txt,1314.14,1439.3,788.49,725.91,0,0,1
0182.a1.txt,1622.39,1337.76,645.16,616.7,4,0,0
0185.a1.txt,1586.12,1078.07,780.67,520.45,0,0,1
0186.a1.txt,1287.88,1439.39,542.93,795.45,2,0,0
0187.a1.txt,1324.68,1441.56,740.26,753.25,0,0,0
0188.a1.txt,1199.51,1297.43,685.43,660.95,1,0,0
0189.a1.txt,1204.48,1288.52,690.94,513.54,1,0,1
0190.a1.txt,1202.61,1464.05,575.16,522.88,1,0,0
0191.a1.txt,1269.46,1377.25,766.47,670.66,0,0,1
0192.a1.txt,924.55,1360.26,690.75,690.75,1,0,1
0193.a1.txt,1277.42,1458.06,800.0,541.94,0,0,0
0194.a1.txt,1151.08,1469.68,801.64,688.59,1,0,1
0195.a1.txt,1254.61,1512.92,639.61,565.81,0,0,0
0196.a1.txt,1234.29,1314.29,731.43,582.86,3,0,0
0197.a1.txt,1405.47,1281.09,671.64,572.14,0,0,0
0198.a1.txt,1388.1,1416.43,651.56,495.75,2,0,0
0199.a1.txt,1386.77,1450.38,534.35,699.75,3,0,0
0200.a1.txt,1271.1,1310.82,774.58,715.0,1,1,1
0201.a1.txt,1066.13,1417.0,647.77,701.75,1,0,0
0202.a1.txt,1514.79,1171.6,639.05,568.05,0,0,0
0203.a1.txt,1510.07,1252.8,671.14,503.36,0,0,1
0204.a1.txt,1454.77,1112.47,635.7,525.67,2,0,1
0205.a1.txt,1262.46,1461.79,708.75,642.3,2,0,0
0206.a1.txt,1106.82,1299.87,604.89,579.15,1,0,2
0207.a1.txt,1227.85,1443.04,594.94,582.28,0,0,0
0208.a1.txt,1409.46,1141.84,820.7,651.2,3,0,1
0209.a1.txt,1394.77,1183.06,697.38,572.85,1,0,0
0212.a1.txt,1348.31,1061.17,649.19,811.49,0,0,0
0213.a1.txt,1461.63,1400.73,828.26,523.75,0,0,0
0214.a1.txt,1205.25,1264.92,596.66,823.39,0,0,0
0215.a1.txt,1397.66,1190.26,522.99,604.15,7,0,2
0216.a1.txt,1388.89,1300.51,681.82,340.91,1,0,1
