Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b4.txt,1412.3,1138.95,584.66,463.17,5,0,3
0105.b4.txt,1314.43,1194.16,532.65,549.83,6,0,6
0107.b4.txt,1921.15,1240.14,659.5,243.73,8,0,5
0139.b4.txt,1604.03,1060.4,523.49,315.44,9,0,5
0140.b4.txt,1335.53,1162.41,412.2,461.67,6,0,7
0158.b4.txt,1421.6,1198.61,606.27,571.43,12,0,1
0165.b4.txt,1300.31,998.45,448.92,387.0,9,0,5
0178.b4.txt,1577.25,1085.11,657.52,629.29,6,0,0
0200.b4.txt,1291.44,946.13,718.23,718.23,6,0,2
0219.b4.txt,1626.39,1040.89,511.15,418.22,7,0,2
0300.b4.txt,1656.9,1112.97,460.25,343.1,11,0,3
0308.b4.txt,1431.02,1019.71,539.85,582.69,4,0,1
0310.b4.txt,1643.6,1107.27,680.51,403.69,11,0,7
0318.b4.txt,1503.93,953.26,416.47,347.06,12,0,2
1003.b4.txt,1632.93,1167.34,499.33,209.18,3,0,1
1021.b4.txt,1523.23,1111.96,487.43,403.66,10,0,6
1023.b4.txt,1317.14,946.29,818.41,805.63,7,0,4
1057.b4.txt,1511.48,1116.07,465.56,350.77,6,0,3
1069.b4.txt,1450.82,1172.13,573.77,704.92,6,0,5
1097.b4.txt,1540.98,1088.52,557.38,491.8,8,0,4
1100.b4.txt,1576.62,1080.6,496.01,301.15,4,0,1
1112.b4.txt,1459.53,1217.34,490.76,407.9,8,0,6
1508.b4.txt,1559.77,1100.58,517.49,320.7,6,0,3
1520.b4.txt,1453.2,972.91,584.98,412.56,4,0,3
1528.b4.txt,1449.57,1148.96,547.76,541.08,7,0,4
1532.b4.txt,1459.54,1134.39,397.4,534.68,8,0,7
2018.b4.txt,1473.0,1358.43,417.35,376.43,8,0,1
2030.b4.txt,1376.66,1167.02,489.17,419.29,9,0,2
2034.b4.txt,1429.65,895.41,624.53,368.7,9,0,4
