Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0106.b7.txt,1793.81,1257.73,835.05,505.15,0,1,0
0107.b7.txt,1700.45,1081.08,1126.13,540.54,0,1,2
0137.b7.txt,2149.25,965.17,815.92,348.26,2,1,3
0151.b7.txt,1997.47,1087.23,884.96,442.48,0,0,0
0157.b7.txt,1317.65,1223.53,882.35,588.24,4,1,2
0158.b7.txt,1850.12,1229.51,737.7,491.8,0,1,0
0178.b7.txt,2011.26,1029.77,965.41,716.01,2,0,0
0185.b7.txt,1825.56,1156.19,821.5,598.38,0,0,0
0186.b7.txt,1726.19,1083.33,761.9,642.86,0,0,1
0198.b7.txt,2036.81,1079.75,809.82,503.07,0,0,0
0219.b7.txt,2083.33,1002.25,1002.25,585.59,1,1,0
0223.b7.txt,2026.88,1041.43,907.05,447.93,0,0,0
0224.b7.txt,2087.91,1030.22,934.07,315.93,0,1,0
0238.b7.txt,1741.45,1175.21,726.5,555.56,0,0,1
0318.b7.txt,2116.4,925.93,820.11,515.87,1,0,1
