Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b3.txt,2447.52,617.13,617.13,251.89,15,1,7
0105.b3.txt,1505.92,879.86,761.42,397.63,5,0,5
0122.b3.txt,1575.7,813.59,623.07,262.62,13,2,11
0130.b3.txt,1865.71,758.59,748.33,425.42,10,2,7
0133.b3.txt,1738.54,780.75,594.64,363.14,27,1,18
0134.b3.txt,1713.12,958.19,789.78,813.01,6,0,8
0139.b3.txt,1854.89,842.6,754.83,374.49,10,2,10
0140.b3.txt,2659.4,637.58,587.25,276.85,6,0,2
0165.b3.txt,2019.87,658.94,738.41,254.97,31,0,10
0171.b3.txt,1727.16,801.0,844.81,312.89,12,1,12
0200.b3.txt,1835.65,781.97,801.86,417.5,10,0,7
0300.b3.txt,1705.5,857.71,847.79,292.51,20,2,7
0303.b3.txt,1670.43,790.07,880.36,451.47,2,0,0
0304.b3.txt,2048.89,862.69,647.02,431.34,5,0,3
0307.b3.txt,1920.75,737.48,897.08,231.15,7,1,14
0308.b3.txt,1828.57,907.94,876.19,704.76,3,0,4
0310.b3.txt,2004.93,710.76,977.81,562.86,14,3,8
0313.b3.txt,1804.6,540.98,795.32,278.56,3,2,13
1023.b3.txt,1435.9,724.36,743.59,455.13,6,0,4
1057.b3.txt,1845.71,951.97,692.87,369.72,11,0,10
1066.b3.txt,1757.54,915.83,1032.29,428.8,7,0,8
1069.b3.txt,1610.82,714.29,737.8,399.76,32,1,24
1082.b3.txt,2168.83,675.32,987.01,318.18,12,1,14
1097.b3.txt,1622.93,855.2,733.72,534.5,10,1,7
1100.b3.txt,1953.69,817.66,759.77,303.91,4,1,4
1102.b3.txt,1836.28,722.71,973.45,435.1,3,2,2
1112.b3.txt,1635.78,886.38,813.86,459.31,8,0,6
1508.b3.txt,1754.72,858.49,636.79,311.32,16,0,14
1520.b3.txt,1483.49,841.25,587.97,312.08,20,0,20
1532.b3.txt,1875.9,856.18,793.65,346.32,16,2,12
1533.b3.txt,1914.38,892.57,953.15,343.3,8,0,12
1534.b3.txt,1731.89,836.71,998.65,503.82,11,1,7
1536.b3.txt,1871.31,750.67,798.93,466.49,9,2,5
2018.b3.txt,1925.54,1070.39,698.08,296.68,6,0,10
2034.b3.txt,1430.83,1141.5,647.03,405.05,7,0,11
