Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0101.a5.txt,2078.65,1083.47,770.47,409.31,5,0,0
0102.a5.txt,1870.56,1041.83,899.76,268.35,1,1,4
0103.a5.txt,2043.4,1103.07,660.04,388.79,0,1,0
0104.a5.txt,2111.41,934.41,646.9,368.37,2,1,2
0105.a5.txt,1643.19,1051.64,572.77,582.16,1,2,2
0106.a5.txt,2015.43,964.32,867.89,646.09,2,0,0
0107.a5.txt,2069.26,1212.12,813.85,554.11,1,0,0
0108.a5.txt,2209.21,1053.86,780.64,327.87,7,0,0
0111.a5.txt,1809.7,1054.1,802.24,307.84,7,2,2
0112.a5.txt,2269.88,1099.2,652.37,580.88,2,0,1
0115.a5.txt,1511.23,1105.35,759.93,474.96,2,0,1
0119.a5.txt,2011.59,1092.72,736.75,231.79,3,1,3
0121.a5.txt,1733.68,1041.53,613.05,382.33,2,0,1
0122.a5.txt,1855.49,1043.71,749.33,365.74,4,0,0
0125.a5.txt,2257.44,1008.65,883.77,480.31,1,0,2
0128.a5.txt,2023.23,1122.94,822.85,484.03,2,4,0
0130.a5.txt,1801.59,936.51,777.78,269.84,9,1,1
0134.a5.txt,1949.49,986.58,868.19,473.56,3,0,1
0137.a5.txt,2150.84,1061.45,837.99,446.93,4,1,0
0139.a5.txt,1672.05,1235.86,597.74,306.95,3,1,1
0140.a5.txt,1969.29,1020.78,632.34,280.04,5,1,1
0149.a5.txt,2690.48,1261.9,849.21,365.08,1,0,0
0157.a5.txt,1763.67,1172.84,634.92,590.83,2,0,1
0158.a5.txt,1666.67,1201.75,789.47,543.86,4,0,2
0159.a5.txt,2147.24,1060.47,981.6,333.04,0,0,0
0161.a5.txt,2239.29,881.16,978.17,266.77,2,0,1
0163.a5.txt,2397.26,936.07,898.02,433.79,1,0,0
0165.a5.txt,2104.8,986.9,855.9,288.21,4,0,2
0171.a5.txt,1847.83,963.77,536.23,376.81,13,0,1
0178.a5.txt,1845.32,1017.64,820.9,461.33,6,1,2
0182.a5.txt,2329.32,1076.31,755.02,417.67,5,0,0
0185.a5.txt,1942.08,1056.22,741.06,221.47,2,2,1
0186.a5.txt,1991.87,975.61,861.79,398.37,5,0,0
0187.a5.txt,2364.13,1105.07,806.16,362.32,3,1,4
0188.a5.txt,1683.48,1086.11,775.8,457.72,1,0,0
0192.a5.txt,1776.65,1108.29,642.98,448.39,6,1,0
0193.a5.txt,2230.84,1076.66,869.94,396.21,1,0,0
0197.a5.txt,2042.31,886.9,626.53,317.33,7,0,0
0198.a5.txt,2176.87,1010.69,826.04,379.01,2,0,0
0199.a5.txt,1961.9,990.48,800.0,380.95,7,3,1
0200.a5.txt,1721.74,1191.3,782.61,426.09,1,3,1
0206.a5.txt,1688.31,957.79,714.29,349.03,3,0,1
0214.a5.txt,1840.71,1115.04,663.72,309.73,8,1,0
0215.a5.txt,2073.84,950.51,761.98,274.94,8,1,0
0219.a5.txt,2072.07,981.98,873.87,621.62,3,0,1
0222.a5.txt,1819.94,1151.98,706.68,416.26,0,0,0
0223.a5.txt,1822.32,1040.24,713.74,372.06,5,2,0
0227.a5.txt,1806.97,965.17,798.26,348.33,8,1,0
0234.a5.txt,1834.47,947.1,571.67,315.7,4,3,1
0238.a5.txt,1972.43,1145.28,699.89,328.74,1,0,1
1003.a5.txt,2232.56,1041.86,716.28,241.86,3,0,0
