Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0100.a2.txt,2105.26,1309.67,807.83,367.2,0,0,1
0101.a2.txt,2059.2,952.38,553.41,707.85,0,0,0
0102.a2.txt,1889.95,1148.33,633.97,681.82,0,0,1
0103.a2.txt,1961.72,1220.1,1028.71,394.74,0,0,1
0104.a2.txt,2071.96,992.56,744.42,322.58,4,0,1
0105.a2.txt,1766.2,1245.24,902.16,571.79,0,0,2
0106.a2.txt,1716.69,1128.45,732.29,552.22,0,0,1
0107.a2.txt,1599.54,1334.87,759.49,540.85,1,0,1
0109.a2.txt,1677.59,1205.77,615.99,366.97,1,0,1
0110.a2.txt,2253.52,1306.02,601.79,537.77,1,0,1
0111.a2.txt,1907.51,1387.28,505.78,679.19,0,0,0
0112.a2.txt,2209.17,1022.33,775.56,481.79,0,0,0
0113.a2.txt,2013.42,1185.68,794.18,626.4,0,0,0
0115.a2.txt,2197.94,1272.49,681.23,642.67,0,0,0
0118.a2.txt,1757.32,1436.54,850.77,432.36,1,0,1
0119.a2.txt,1789.74,1301.63,675.84,413.02,0,0,0
0120.a2.txt,1891.89,1209.78,759.33,540.54,0,3,0
0121.a2.txt,2118.74,768.34,814.9,419.09,0,3,0
0122.a2.txt,1835.88,1070.93,737.13,486.79,2,0,0
0125.a2.txt,1811.59,1159.42,1159.42,420.29,0,0,0
0127.a2.txt,1976.57,1171.3,834.55,717.42,2,1,0
0128.a2.txt,1967.21,1007.03,807.96,550.35,1,0,0
0130.a2.txt,1864.22,1002.16,646.55,506.47,4,1,0
0131.a2.txt,2262.05,1161.93,593.33,556.24,0,0,1
0133.a2.txt,1818.18,997.07,967.74,518.08,0,0,0
0134.a2.txt,1779.14,822.09,944.79,736.2,0,0,0
0135.a2.txt,1883.72,1023.26,895.35,511.63,1,0,2
0136.a2.txt,2007.39,1182.27,886.7,307.88,0,0,0
0137.a2.txt,1718.01,1220.38,616.11,592.42,0,0,1
0138.a2.txt,1866.15,1248.39,733.59,450.45,0,0,0
0139.a2.txt,1814.52,1196.24,752.69,577.96,0,0,0
0140.a2.txt,1770.09,1139.37,783.32,447.61,0,0,0
0142.a2.txt,2280.53,1135.5,811.07,381.68,0,0,0
0143.a2.txt,1980.52,1147.19,909.09,422.08,1,0,0
0146.a2.txt,1599.58,1430.08,677.97,497.88,0,0,0
0148.a2.txt,2007.0,1120.19,536.76,443.41,0,3,2
0149.a2.txt,2008.66,1246.75,649.35,701.3,0,0,1
0150.a2.txt,1640.42,1391.08,643.04,459.32,0,0,0
0155.a2.txt,2046.04,1265.98,1125.32,677.75,0,0,0
0156.a2.txt,1768.03,1074.96,693.07,523.34,1,0,0
0157.a2.txt,1216.87,1421.69,506.02,578.31,1,0,2
0158.a2.txt,1677.34,1267.61,563.38,717.03,0,0,0
0159.a2.txt,1862.98,1057.69,853.37,733.17,0,0,0
