Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b2.txt,2102.43,1096.14,539.08,386.34,2,0,1
0134.b2.txt,1746.17,936.97,1201.02,630.32,2,0,2
0139.b2.txt,1672.17,1221.12,935.09,484.05,2,0,1
0140.b2.txt,2008.07,998.99,595.36,494.45,5,0,5
0165.b2.txt,1912.42,1018.77,759.61,303.84,0,0,1
0200.b2.txt,1771.43,1142.86,1047.62,609.52,4,0,4
0300.b2.txt,1730.07,1322.46,833.33,371.38,2,0,4
0308.b2.txt,1726.97,1011.51,921.05,641.45,3,0,0
0310.b2.txt,2408.16,948.98,510.2,448.98,6,0,1
0313.b2.txt,1683.63,1049.33,924.04,469.85,2,0,3
1003.b2.txt,1957.95,1235.22,854.14,381.08,6,0,0
1006.b2.txt,1863.68,1011.71,638.98,436.63,0,0,0
1006.b2i.txt,1863.68,1011.71,638.98,436.63,0,0,0
1021.b2.txt,2054.05,1090.09,657.66,351.35,2,0,2
1023.b2.txt,1702.86,960.0,720.0,480.0,5,1,5
1057.b2.txt,1821.62,1126.23,718.07,491.31,1,0,0
1097.b2.txt,1882.53,1001.51,715.36,519.58,4,0,1
1100.b2.txt,1854.0,1100.81,787.95,451.91,1,0,2
1104.b2.txt,1972.39,1074.95,552.27,463.51,2,0,1
1104.b2i.txt,1972.39,1074.95,552.27,463.51,2,0,1
1112.b2.txt,1871.02,955.41,613.06,350.32,16,0,4
1508.b2.txt,1486.1,1332.69,604.03,325.98,2,0,0
1520.b2.txt,1844.74,1202.0,634.39,425.71,4,0,2
1528.b2.txt,1798.56,1079.14,863.31,287.77,6,0,0
1532.b2.txt,1559.04,987.08,894.83,488.93,7,1,6
1533.b2.txt,1820.19,1245.39,729.55,302.14,8,0,5
1541.b2.txt,2016.9,887.01,918.69,591.34,3,0,0
2012.b2.txt,1871.6,903.16,772.58,206.75,3,0,1
2019.b2.txt,1711.49,1173.59,819.07,562.35,1,0,0
2028.b2.txt,1941.52,1298.25,818.71,362.57,1,0,0
2028.b2i.txt,1919.08,1283.24,809.25,358.38,1,0,0
2030.b2.txt,1568.86,1377.25,598.8,562.87,0,0,0
2032.b2.txt,2144.97,1065.09,798.82,369.82,2,0,1
2034.b2.txt,1972.48,1055.05,535.17,519.88,3,0,2
2066.b2.txt,2185.09,1195.37,938.3,501.29,3,0,3
2070.b2.txt,1740.85,1186.94,741.84,494.56,8,0,1
2070.b2i.txt,1745.56,1183.43,739.64,493.1,9,0,1
3013.b2.txt,1881.79,1013.27,711.7,398.07,3,1,4
3020.b2.txt,1915.1,1105.63,562.69,256.66,3,0,2
3501.b2.txt,1935.48,903.23,612.9,268.82,5,1,2
3503.b2.txt,2157.53,947.49,764.84,353.88,4,1,3
3504.b2.txt,2099.71,1093.0,747.84,316.4,4,1,7
3505.b2.txt,1891.3,1195.65,771.74,423.91,5,0,1
3506.b2.txt,1821.12,1056.03,581.9,409.48,4,0,2
3507.b2.txt,1816.67,975.0,958.33,366.67,3,0,3
3508.b2.txt,2072.37,1085.53,838.82,345.39,3,0,0
3509.b2.txt,1920.33,1021.45,817.16,510.73,3,0,4
3511.b2.txt,2195.79,1125.34,594.69,402.56,1,0,2
3518.b2.txt,1501.53,1266.6,704.8,316.65,7,1,3
3519.b2.txt,1657.51,1217.95,659.34,375.46,5,0,0
3520.b2.txt,2052.72,1078.27,702.88,351.44,5,0,1
3522.b2.txt,1974.68,1075.95,822.78,544.3,4,0,0
3523.b2.txt,2413.18,1202.14,712.38,320.57,4,0,3
3525.b2.txt,1828.84,1101.99,832.36,410.32,7,0,7
4012.b2.txt,1968.81,1072.12,633.53,477.58,1,0,0
4036.b2.txt,1809.0,1010.1,789.72,440.77,9,0,4
4038.b2.txt,1995.78,1341.08,517.42,506.86,0,0,3
