,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0103.b1.txt,2045.95,1017.51,962.8,240.7,2,0,3
1,0105.b1.txt,2024.97,1040.22,679.61,859.92,0,0,1
2,0122.b1.txt,2131.15,1206.09,761.12,515.22,0,0,0
3,0134.b1.txt,1995.52,1008.97,807.17,661.43,0,0,0
4,0139.b1.txt,1885.71,1211.43,742.86,457.14,0,0,0
5,0140.b1.txt,2160.49,1024.69,728.4,543.21,0,0,0
6,0165.b1.txt,2026.58,963.46,575.86,598.01,9,0,0
7,0171.b1.txt,2080.1,1007.75,633.07,581.4,3,0,0
8,0200.b1.txt,2206.98,1059.85,785.54,822.94,0,1,2
9,0300.b1.txt,1657.7,914.96,1162.54,570.51,15,0,3
10,0304.b1.txt,1770.33,1307.81,749.6,622.01,1,0,0
11,0307.b1.txt,2070.87,852.71,697.67,287.93,12,0,3
12,0308.b1.txt,1915.71,977.01,929.12,727.97,1,0,0
13,0310.b1.txt,2034.88,965.12,709.3,639.53,5,0,4
14,0313.b1.txt,1715.53,1064.06,651.47,738.33,0,0,1
15,1003.b1.txt,2082.87,963.05,974.24,459.13,6,0,5
16,1006.b1.txt,2027.97,955.71,839.16,524.48,0,1,5
17,1006.b1i.txt,2027.97,955.71,839.16,524.48,0,1,5
18,1012.b1.txt,2175.0,962.5,837.5,400.0,0,0,0
19,1021.b1.txt,1735.63,919.54,896.55,574.71,1,0,2
20,1023.b1.txt,1804.51,859.29,1084.85,805.59,1,0,5
21,1057.b1.txt,1734.5,1230.62,765.5,697.67,0,1,0
22,1066.b1.txt,1922.17,1025.94,1084.91,601.42,1,0,3
23,1069.b1.txt,1610.56,828.03,646.04,618.74,6,1,7
24,1081.b1.txt,1909.76,1122.77,766.0,503.67,2,0,3
25,1097.b1.txt,1954.96,962.13,941.66,593.65,9,0,2
26,1100.b1.txt,1989.32,1081.44,1148.2,560.75,0,0,0
27,1102.b1.txt,2287.36,977.01,678.16,471.26,0,0,4
28,1104.b1.txt,1848.18,946.09,715.07,550.06,5,0,5
29,1104.b1i.txt,1848.18,946.09,715.07,550.06,5,0,5
30,1112.b1.txt,2089.08,1145.28,678.69,593.85,0,0,0
31,1500.b1.txt,2264.38,869.03,734.39,538.56,1,0,4
32,1508.b1.txt,2206.98,1159.6,760.6,561.1,0,0,0
33,1520.b1.txt,1974.92,961.34,783.7,522.47,0,2,2
34,1523.b1.txt,1230.33,1201.72,858.37,686.7,1,1,3
35,1528.b1.txt,2002.09,1084.46,563.09,271.12,7,0,4
36,1532.b1.txt,2182.49,850.8,838.47,443.9,1,0,2
37,1541.b1.txt,2005.49,810.44,837.91,576.92,1,1,1
38,2012.b1.txt,1804.6,1034.48,643.68,574.71,3,0,1
39,2012.b1i.txt,1804.6,1034.48,643.68,574.71,3,0,1
40,2018.b1.txt,2201.65,967.08,792.18,483.54,0,1,8
41,2019.b1.txt,1572.48,1253.07,798.53,577.4,3,0,0
42,2028.b1.txt,1729.52,1248.37,572.17,637.19,1,0,0
43,2030.b1.txt,1708.86,1025.32,974.68,645.57,1,0,0
44,2032.b1.txt,1820.48,1238.94,758.53,619.47,2,0,0
45,2034.b1.txt,1871.66,975.94,628.34,574.87,5,0,2
46,2036.b1.txt,1725.73,1232.67,785.82,647.15,0,0,0
47,2042.b1.txt,1635.46,1173.53,736.58,611.74,1,0,2
48,2049.b1.txt,2138.92,992.28,694.6,518.19,4,0,1
49,2066.b1.txt,1836.46,1340.48,603.22,388.74,6,0,0
50,2070.b1.txt,2043.01,1075.27,537.63,442.05,2,0,2
51,2070.b1i.txt,2023.81,1071.43,535.71,440.48,2,0,2
52,3013.b1.txt,1969.2,1166.12,935.09,363.04,2,0,0
53,3018.b1.txt,1942.45,1235.01,683.45,527.58,2,0,1
54,3020.b1.txt,1904.76,1066.25,621.12,403.73,1,1,4
55,3062.b1.txt,2306.76,905.8,1002.42,507.25,0,0,0
56,3501.b1.txt,2311.76,977.54,924.7,422.72,3,1,2
57,3503.b1.txt,2405.8,811.59,753.62,376.81,0,0,0
58,3504.b1.txt,2091.58,952.97,717.82,482.67,7,0,12
59,3505.b1.txt,1629.39,1150.16,915.87,745.47,2,0,4
60,3506.b1.txt,2288.73,927.23,845.07,316.9,0,0,3
61,3508.b1.txt,1851.46,847.28,1108.79,564.85,2,4,1
62,3509.b1.txt,1791.04,1067.74,757.75,597.01,1,0,6
63,3510.b1.txt,1850.68,893.8,956.89,399.58,4,1,11
64,3511.b1.txt,1672.06,1186.62,895.36,701.19,0,0,0
65,3513.b1.txt,2157.68,1265.56,861.0,321.58,2,1,1
66,3514.b1.txt,2087.59,1021.9,875.91,408.76,8,0,1
67,3515.b1.txt,2293.14,1052.01,921.99,508.27,2,0,1
68,3518.b1.txt,1739.62,1077.44,583.61,662.18,5,1,0
69,3519.b1.txt,1437.6,963.67,821.48,458.14,0,0,3
70,3520.b1.txt,2424.24,898.99,858.59,606.06,0,1,0
71,3522.b1.txt,2060.13,1158.13,712.69,467.71,1,0,4
72,3523.b1.txt,2150.66,1091.7,1004.37,513.1,0,0,9
73,3525.b1.txt,1755.49,1206.9,736.68,360.5,1,0,2
74,4012.b1.txt,2249.17,970.23,705.62,672.55,1,0,0
75,4035.b1.txt,1563.73,1143.23,617.61,709.59,1,0,0
76,4036.b1.txt,1746.92,1007.84,985.44,481.52,3,0,1
77,4038.b1.txt,2109.0,995.26,746.45,639.81,0,0,0
78,4503.b1.txt,1862.5,1100.0,625.0,375.0,2,2,2
79,4507.b1.txt,2265.9,1306.36,774.57,508.67,2,0,1
