task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-19T12:28:07,assignment 2 vectorizer,d0f0eceb-0802-476d-84c6-30ff188482c4,1.0126135349273682,9.33341044026992e-06,9.202537203223892e-06,42.5,0.0,141.20075225830078,1.1972180836730534e-05,0,3.97599658463605e-05,5.173214668309103e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create vectorizer,2024-05-19T12:28:07,assignment 2 vectorizer,d0f0eceb-0802-476d-84c6-30ff188482c4,0.0025475025177001953,2.061943835941287e-08,8.035324053576033e-06,42.5,0.0,141.20075225830078,2.911488215128501e-08,0,8.51721532853846e-08,1.1428703543667131e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
