task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-30T19:52:37,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,1.2436928749084473,1.1470183635174241e-05,9.203292238793672e-06,42.5,0.0,141.20075225830078,1.4712337652842205e-05,0,4.8863268080367566e-05,6.357560573320977e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
load model,2024-05-30T19:52:39,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,1.7556421756744385,1.6152375881924148e-05,9.203714903054202e-06,42.5,0.0,141.20075225830078,2.0717293355200027e-05,0,6.881022541745097e-05,8.952751877265099e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
create path to dir,2024-05-30T19:52:39,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,0.0011725425720214844,8.278831453044426e-09,6.779370534718869e-06,42.5,0.0,141.20075225830078,1.331617434819233e-08,0,3.2570774033047396e-08,4.588694838122617e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
sort directory,2024-05-30T19:52:39,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,0.002366781234741211,1.8780428533747096e-08,7.997038225462902e-06,42.5,0.0,141.20075225830078,2.653383546405685e-08,0,7.756014924780634e-08,1.0409398471186997e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
extract features,2024-05-30T19:56:30,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,230.6507351398468,0.0021234382553120433,9.206346369535297e-06,42.5,0.0,141.20075225830078,0.0027229427489969464,0,0.009046604941987562,0.01176954769098451,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
calculate averages,2024-05-30T19:56:30,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,0.027466773986816406,2.4755894828878966e-07,9.069241742016452e-06,42.5,0.0,141.20075225830078,3.2093640830793344e-07,0,1.051204665690822e-06,1.372141073999189e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
plotting,2024-05-30T19:56:30,assignment 1,0b740073-76c3-42de-a821-4a72d2bea7fa,0.24321579933166504,2.233661251485348e-06,9.18930662436232e-06,42.5,0.0,141.20075225830078,2.868260608778969e-06,0,9.512218342796683e-06,1.2380478951575652e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
