task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2024-04-29T18:24:52,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,20.590347051620483,0.00018957091265049862,9.206119449482111e-06,42.5,0.0,141.20075225830078,0.00024309672945075565,0,0.0008076349749828296,0.0010507317044335853,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load data,2024-04-29T18:24:52,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,0.036757469177246094,3.3361791690886874e-07,9.109993251058175e-06,42.5,0.0,141.20075225830078,4.312487112151256e-07,0,1.4178900493789018e-06,1.8491387605941087e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
sentiment analysis,2024-04-29T19:07:30,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,2558.085152864456,0.023550661215957967,9.206365591476547e-06,42.5,0.0,141.20075225830078,0.030199607299433814,0,0.10033427078345128,0.1305338780828851,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
fix labels,2024-04-29T19:07:30,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,0.012987613677978516,1.1570864641777256e-07,8.939019349161002e-06,42.5,0.0,141.20075225830078,1.5152179532601506e-07,0,4.898146922366342e-07,6.41336487583466e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
update dataframe,2024-04-29T19:07:30,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,0.0852971076965332,7.836194324054024e-07,9.171968208981568e-06,42.5,0.0,141.20075225830078,1.0076327456379208e-06,0,3.335722309885658e-06,4.343355055502762e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
plot distribution of emotion labels for every season,2024-04-29T19:07:30,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,0.16294622421264648,1.495048338788496e-06,9.185316862472563e-06,42.5,0.0,141.20075225830078,1.9203831752127865e-06,0,6.366197647045269e-06,8.286580822247647e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
plot emotion freq across seasons,2024-04-29T19:07:31,assignment 4,f23c7b75-84ee-4fb2-b4da-eeaa8a910bc3,1.234459638595581,1.1360205952298807e-05,9.203459024780127e-06,42.5,0.0,141.20075225830078,1.4570838875242048e-05,0,4.839519529155345e-05,6.296603416677815e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
