task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-22T15:56:12,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,1.829085111618042,1.6857842400712898e-05,9.204238718286033e-06,42.5,0.0,141.20075225830078,2.1620963679419625e-05,0,7.181673322838833e-05,9.343769690780796e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create arguments,2024-05-22T15:56:12,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,0.0018856525421142578,1.4703585953801266e-08,7.651527218408494e-06,42.5,0.0,141.20075225830078,2.140551805496251e-08,0,6.009181565786944e-08,8.149733371282857e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-22T15:56:14,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,1.9989850521087646,1.8330567995101113e-05,9.20392825857638e-06,42.5,0.0,141.20075225830078,2.351059946748946e-05,0,7.808995033963128e-05,0.00010160054980712073,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T15:56:52,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,38.666682720184326,0.00035541487317389833,9.20612860147693e-06,42.5,0.0,141.20075225830078,0.0004557669800188807,0,0.0015141854259156616,0.0019699524059345426,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
find similar words,2024-05-22T15:56:53,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,0.20235085487365723,1.8675221585656948e-06,9.177839557099923e-06,42.5,0.0,141.20075225830078,2.400412824418805e-06,0,7.950672757761016e-06,1.0351085582179821e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
select artist,2024-05-22T15:56:53,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,0.10946154594421387,1.004661478125671e-06,9.164101883660231e-06,42.5,0.0,141.20075225830078,1.292594936158891e-06,0,4.275926376158274e-06,5.568521312317165e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
counting words,2024-05-22T15:56:53,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,0.01303553581237793,1.1836329607726407e-07,8.958633719323895e-06,42.5,0.0,141.20075225830078,1.5478961997567302e-07,0,5.012607523667209e-07,6.560503723425024e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
print results,2024-05-22T15:56:53,assignment 3,dcae1161-b137-467c-8ee8-db4ffc8c3728,0.002137422561645508,1.6784924394234058e-08,7.839763421651837e-06,42.5,0.0,141.20075225830078,2.4076633983174597e-08,0,6.895690144110081e-08,9.303353542449225e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
