task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-22T15:49:51,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,2.612227439880371,2.4121144032032725e-05,9.202947858402928e-06,42.5,0.0,141.20075225830078,3.093984259499444e-05,0,0.00010275604158525767,0.0001336958841802521,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create arguments,2024-05-22T15:49:51,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,0.0020570755004882812,1.585635560106421e-08,7.728806010803722e-06,42.5,0.0,141.20075225830078,2.3007061746386506e-08,0,6.487971008936567e-08,8.78867718357454e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-22T15:49:53,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,1.8802580833435059,1.728965834046686e-05,9.20359197515593e-06,42.5,0.0,141.20075225830078,2.2175869014528066e-05,0,7.36552472846597e-05,9.583111629918778e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T15:50:40,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,46.489784717559814,0.0004274773610570498,9.206254262763575e-06,42.5,0.0,141.20075225830078,0.0005481699797842238,0,0.0018212020399535505,0.0023693720197377746,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
find similar words,2024-05-22T15:50:40,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,0.22038507461547852,1.9471126337038775e-06,9.176304242982146e-06,42.5,0.0,141.20075225830078,2.5022811359829127e-06,0,8.289949316099554e-06,1.0792230452082684e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
select artist,2024-05-22T15:50:40,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,0.01741504669189453,8.607911952193551e-07,9.162921015857679e-06,42.5,0.0,141.20075225830078,1.1074942019250172e-06,0,3.663599564879619e-06,4.771093766804853e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
counting words,2024-05-22T15:50:40,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,0.018010377883911133,1.6197420657726664e-07,8.991834483202156e-06,42.5,0.0,141.20075225830078,2.1113918887241158e-07,0,6.86632688530215e-07,8.977718774028434e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
print results,2024-05-22T15:50:40,assignment 3,e5e805b7-6546-44b3-8612-d5669abc3e79,0.0025610923767089844,1.978393019894109e-08,7.78714504214897e-06,42.5,0.0,141.20075225830078,2.8495656119453816e-08,0,8.116042142774366e-08,1.0965607754719747e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
