task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-10T19:54:18,assignment 1,b1578009-007e-48b2-943e-96d64586147f,0.961144208908081,8.853886441236159e-06,9.2020606858109e-06,42.5,0.0,141.20075225830078,1.1357686254713271e-05,0,3.7716610330085126e-05,4.90742965847984e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-10T19:54:20,assignment 1,b1578009-007e-48b2-943e-96d64586147f,1.6352508068084717,1.5043136574524357e-05,9.202917534514328e-06,42.5,0.0,141.20075225830078,1.92959134777387e-05,0,6.408344209944516e-05,8.337935557718386e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create path to dir,2024-05-10T19:54:20,assignment 1,b1578009-007e-48b2-943e-96d64586147f,0.0012104511260986328,1.1147134741961763e-08,7.141358154383563e-06,42.5,0.0,141.20075225830078,1.725388897789895e-08,0,4.453115875548976e-08,6.178504773337516e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
sort directory,2024-05-10T19:54:20,assignment 1,b1578009-007e-48b2-943e-96d64586147f,0.0019795894622802734,1.4508861741226978e-08,7.406837492292512e-06,42.5,0.0,141.20075225830078,2.1644764476352798e-08,0,5.877327441794597e-08,8.041803889428521e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
extract features,2024-05-10T19:58:03,assignment 1,b1578009-007e-48b2-943e-96d64586147f,223.2778434753418,0.0020555401417668663,9.2063458151083e-06,42.5,0.0,141.20075225830078,0.002635874893764655,0,0.008757334995308862,0.011393209889073518,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate averages,2024-05-10T19:58:03,assignment 1,b1578009-007e-48b2-943e-96d64586147f,0.027608394622802734,2.508164393976754e-07,9.091069626431736e-06,42.5,0.0,141.20075225830078,3.245251046285133e-07,0,1.0656712139053837e-06,1.3901963185347643e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plotting,2024-05-10T19:58:03,assignment 1,b1578009-007e-48b2-943e-96d64586147f,0.23338627815246582,2.1428696624558805e-06,9.189886450327806e-06,42.5,0.0,141.20075225830078,2.7514295445549286e-06,0,9.125820300005458e-06,1.1877249844560386e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
