task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2024-04-29T17:13:42,assignment 1,50058b18-db6c-4568-827d-8e040f6d143b,1.8570756912231445,1.7117050871556197e-05,9.203443926276633e-06,42.5,0.0,141.20075225830078,2.1955663793616826e-05,0,7.291874381292019e-05,9.487440760653701e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create path to dir,2024-04-29T17:13:42,assignment 1,50058b18-db6c-4568-827d-8e040f6d143b,0.0012798309326171875,9.067827565608706e-09,6.750661240635935e-06,42.5,0.0,141.20075225830078,1.459403170479736e-08,0,3.566607297216353e-08,5.026010467696089e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
sort directory,2024-04-29T17:13:42,assignment 1,50058b18-db6c-4568-827d-8e040f6d143b,0.0014307498931884766,1.0177496350440425e-08,6.8706765898338445e-06,42.5,0.0,141.20075225830078,1.577900515662136e-08,0,4.0631643173589865e-08,5.641064833021461e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
extract features,2024-04-29T17:17:42,assignment 1,50058b18-db6c-4568-827d-8e040f6d143b,240.35555505752563,0.0022127826935562085,9.206345536001783e-06,42.5,0.0,141.20075225830078,0.002837511577871111,0,0.009427244120319802,0.012264755698190914,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
