task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-19T12:01:50,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,1.5308411121368408,1.4101263881916887e-05,9.203915598929163e-06,42.5,0.0,141.20075225830078,1.8086123135354783e-05,0,6.0072729539638203e-05,7.815885267499298e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-19T12:01:51,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,1.5992708206176758,1.4711091093789377e-05,9.203844947883557e-06,42.5,0.0,141.20075225830078,1.886837730805079e-05,0,6.267055502569292e-05,8.153893233374373e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create path to dir,2024-05-19T12:01:51,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,0.0010151863098144531,7.2423751564425285e-09,6.829299255433346e-06,42.5,0.0,141.20075225830078,1.1545750829907591e-08,0,2.8596447600653463e-08,4.014219843055428e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
sort directory,2024-05-19T12:01:51,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,0.001512765884399414,1.1249436440703795e-08,7.596772864432408e-06,42.5,0.0,141.20075225830078,1.650237374835594e-08,0,4.584969999542679e-08,6.235207374377595e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
extract features,2024-05-19T12:05:31,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,219.72645139694214,0.002022859981675312,9.206348037091085e-06,42.5,0.0,141.20075225830078,0.0025939681669076287,0,0.008618105914809894,0.011212074081717522,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate averages,2024-05-19T12:05:31,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,0.025133371353149414,2.2838116669381472e-07,9.09108203696161e-06,42.5,0.0,141.20075225830078,2.954918477270259e-07,0,9.703528390213323e-07,1.2658446867479245e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plotting,2024-05-19T12:05:31,assignment 1,bc05adba-bd8e-4e8b-adb7-9fce4ae20de3,0.23961091041564941,2.1995206032497834e-06,9.189783325423685e-06,42.5,0.0,141.20075225830078,2.8243124485017625e-06,0,9.366935671141496e-06,1.2191248119642825e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
