task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-22T16:23:23,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,12.416670799255371,0.00011431631490821097,9.205950317486234e-06,42.5,0.0,141.20075225830078,0.0001465958184666104,0,0.00048702341524738135,0.0006336192337139917,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T16:23:34,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,11.699788093566895,0.0001077080807706803,9.20591056566711e-06,42.5,0.0,141.20075225830078,0.0001381219466527303,0,0.00045886993204385365,0.0005969918786965839,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-22T16:23:34,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,0.09073805809020996,8.211834332712286e-07,9.111428152826306e-06,42.5,0.0,141.20075225830078,1.0605962740050452e-06,0,3.490964176012341e-06,4.551560450017332e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
sentiment analysis,2024-05-22T17:08:20,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,2685.219060897827,0.02472109114058701,9.206365373621637e-06,42.5,0.0,141.20075225830078,0.03170047987120019,0,0.1053207216751367,0.1370212015463369,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fix labels,2024-05-22T17:08:20,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,0.06827545166015625,6.267382952306055e-07,9.164642053030358e-06,42.5,0.0,141.20075225830078,8.062632547503612e-07,0,2.667549198712149e-06,3.4738124534694492e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
update dataframe,2024-05-22T17:08:20,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,0.12423825263977051,1.1400890351405402e-06,9.180034556433304e-06,42.5,0.0,141.20075225830078,1.4648270275849362e-06,0,4.85432646674111e-06,6.319153494332985e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot distribution of emotion labels for every season,2024-05-22T17:08:21,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,1.0828495025634766,9.954137270326568e-06,9.202985415318987e-06,42.5,0.0,141.20075225830078,1.2767689261172777e-05,0,4.240495022229951e-05,5.517263948345841e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot emotion freq across seasons,2024-05-22T17:08:22,assignment 4,e832dc5a-68ea-4a64-8c94-ecfb686f2844,1.225398063659668,1.1266330919447454e-05,9.202887633363598e-06,42.5,0.0,141.20075225830078,1.4451159371271782e-05,0,4.79945551331018e-05,6.244571450436665e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
