task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
create arguments,2024-04-29T18:12:30,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,0.00422215461730957,6.633488940037128e-08,8.395808321057814e-06,42.5,0.0,141.20075225830078,9.169611665937637e-08,0,2.759772274657735e-07,3.676733441251498e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load data,2024-04-29T18:12:31,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,0.888002872467041,8.175066572436666e-06,9.201659534161575e-06,42.5,0.0,141.20075225830078,1.0487155781851875e-05,0,3.482465663396397e-05,4.531181241581585e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load model,2024-04-29T18:12:46,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,14.842397451400757,0.0001366316390077742,9.205886978234757e-06,42.5,0.0,141.20075225830078,0.00017521373232205713,0,0.0005820922959443806,0.0007573060282664377,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
find similar words,2024-04-29T18:12:46,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,0.27390313148498535,2.5129978155533875e-06,9.188413131036787e-06,42.5,0.0,141.20075225830078,3.2271640168295927e-06,0,1.0701589297991594e-05,1.3928753314821187e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
select artist,2024-04-29T18:12:46,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,0.008933305740356445,8.014894905823255e-08,8.859376930576914e-06,42.5,0.0,141.20075225830078,1.0560899972914504e-07,0,3.386313147529796e-07,4.4424031448212463e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
counting words,2024-04-29T18:12:46,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,0.009258031845092773,8.266942169325242e-08,8.932471690599604e-06,42.5,0.0,141.20075225830078,1.0822663704554924e-07,0,3.499838613151918e-07,4.5821049836076815e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
print results,2024-04-29T18:12:46,assignment 3,934a5856-cc86-47c1-baec-3334f06ae609,0.002758502960205078,2.2798872272527084e-08,8.313083644975174e-06,42.5,0.0,141.20075225830078,3.1338466538325446e-08,0,9.502848283770259e-08,1.2636694937597382e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
